綜合其他,#genre#
LiveABC互動英語頻道,http://localhost:5050/4gtv-live030/index.m3u8
達文西頻道,http://localhost:5050/4gtv-4gtv018/index.m3u8
ELTV生活英語台,http://localhost:5050/litv-xinchuang20/index.m3u8
Nick Jr. 兒童頻道,http://localhost:5050/4gtv-live032/index.m3u8
尼克兒童頻道,http://localhost:5050/4gtv-live105/index.m3u8
DreamWorks 夢工廠動畫,http://localhost:5050/4gtv-live017/index.m3u8
靖天卡通,http://localhost:5050/4gtv-4gtv044/index.m3u8
靖洋卡通Nice Bingo,http://localhost:5050/4gtv-4gtv057/index.m3u8
MOMO親子,http://localhost:5050/4gtv-live107/index.m3u8
經典卡通台,http://localhost:5050/4gtv-live022/index.m3u8
精選動漫台,http://localhost:5050/4gtv-live024/index.m3u8
ELTV生活英語台,http://localhost:5050/of-litv-xinchuang20/index.m3u8
龍華卡通,http://localhost:5050/litv-xinchuang01/index.m3u8

新聞財經,#genre#
鏡電視新聞台,http://localhost:5050/4gtv-4gtv075/index.m3u8
TVBS,http://localhost:5050/media-live073/index.m3u8
TVBS,http://localhost:5050/4gtv-4gtv073/index.m3u8
TVBS新聞,http://localhost:5050/media-live072/index.m3u8
TVBS新聞,http://localhost:5050/4gtv-4gtv072/index.m3u8
東森新聞,http://localhost:5050/4gtv-4gtv152/index.m3u8
東森新聞,http://localhost:5050/4gtv-live114/index.m3u8
華視新聞台,http://localhost:5050/4gtv-live452/index.m3u8
華視新聞台,http://localhost:5050/4gtv-4gtv052/index.m3u8
華視新聞台,http://localhost:5050/of-4gtv-4gtv052/index.m3u8
NHK WORLD-JAPAN,http://localhost:5050/4gtv-live168/index.m3u8
民視新聞,http://localhost:5050/4gtv-live413/index.m3u8
民視新聞,http://localhost:5050/litv-ftv13/index.m3u8
三立新聞iNEWS,http://localhost:5050/4gtv-live089/index.m3u8
東森財經新聞,http://localhost:5050/4gtv-4gtv153/index.m3u8
東森財經新聞,http://localhost:5050/4gtv-live019/index.m3u8
中視新聞台,http://localhost:5050/4gtv-4gtv074/index.m3u8
中天新聞台,http://localhost:5050/4gtv-live409/index.m3u8
中天新聞台,http://localhost:5050/4gtv-4gtv009/index.m3u8
BLOOMBERG TV,http://localhost:5050/4gtv-live059/index.m3u8
寰宇新聞,http://localhost:5050/4gtv-live408/index.m3u8
寰宇新聞,http://localhost:5050/litv-longturn14/index.m3u8
寰宇新聞台灣台,http://localhost:5050/4gtv-4gtv156/index.m3u8
SBN 全球財經台,http://localhost:5050/4gtv-live060/index.m3u8
FRANCE24 英文台,http://localhost:5050/4gtv-live146/index.m3u8
半島國際新聞台,http://localhost:5050/4gtv-live157/index.m3u8
CNBC Asia 財經台,http://localhost:5050/4gtv-live130/index.m3u8
DW德國之聲,http://localhost:5050/4gtv-live071/index.m3u8
非凡新聞,http://localhost:5050/4gtv-4gtv010/index.m3u8
非凡商業,http://localhost:5050/4gtv-4gtv048/index.m3u8
中視新聞台,http://localhost:5050/4gtv-live474/index.m3u8
中視新聞台,http://localhost:5050/4gtv-4gtv074/index.m3u8
中天新聞台,http://localhost:5050/of-4gtv-4gtv009/index.m3u8
寰宇新聞,http://localhost:5050/of-litv-longturn14/index.m3u8
寰宇新聞台灣台,http://localhost:5050/of-4gtv-4gtv156/index.m3u8
寰宇財經,http://localhost:5050/of-4gtv-4gtv158/index.m3u8
第1商業台,http://localhost:5050/4gtv-4gtv104/index.m3u8
三立新聞iNEWS,http://localhost:5050/iNEWS/index.m3u8
倪珍播新聞,http://localhost:5050/nnews-zh/index.m3u8

體育競技,#genre#
博斯魅力台,http://localhost:5050/litv-xinchuang04/index.m3u8
博斯高球台,http://localhost:5050/litv-xinchuang05/index.m3u8
博斯高球二台,http://localhost:5050/litv-xinchuang06/index.m3u8
博斯運動一台,http://localhost:5050/litv-xinchuang07/index.m3u8
博斯運動二台,http://localhost:5050/litv-xinchuang08/index.m3u8
博斯網球台,http://localhost:5050/litv-xinchuang09/index.m3u8
博斯無限台,http://localhost:5050/litv-xinchuang10/index.m3u8
博斯無限二台,http://localhost:5050/litv-xinchuang13/index.m3u8
Getwin Sports運動台,http://localhost:5050/4gtv-4gtv035/index.m3u8
TRACE Sport Stars,http://localhost:5050/4gtv-4gtv077/index.m3u8
智林體育,http://localhost:5050/4gtv-4gtv101/index.m3u8
時尚運動X,http://localhost:5050/4gtv-live411/index.m3u8
時尚運動X,http://localhost:5050/4gtv-4gtv014/index.m3u8
車迷 TV,http://localhost:5050/4gtv-live201/index.m3u8
GINX Esports TV,http://localhost:5050/4gtv-4gtv053/index.m3u8

紀實探索,#genre#
History 歷史頻道,http://localhost:5050/4gtv-live026/index.m3u8
CI 罪案偵查頻道,http://localhost:5050/4gtv-live027/index.m3u8
視納華仁紀實頻道,http://localhost:5050/4gtv-4gtv013/index.m3u8
影迷數位紀實台,http://localhost:5050/litv-ftv15/index.m3u8
